symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,303.77548126907686,299.74374255168,4.031738717396882,1.0483249163908808,1.0406184677037102,-33.71725988642291,-33.7172598864229,1,100.0,30377.548126907684,mega,61788.4
QQQ,549.7619483314476,527.5848079127484,22.17714041869918,1.149807537020422,1.1298496442830714,-35.11871698854105,-35.118716988541024,1,100.0,54976.19483314476,mega,39413.7
IWM,186.125607165138,180.69481617945686,5.430790985681155,0.6913673637401685,0.6804977682516287,-41.13329795174424,-41.13329795174403,1,100.0,18612.560716513803,mega,12150.2
DIA,239.16860118154014,237.60593148010793,1.56266970143224,0.9485210566376931,0.9435848645630194,-36.69607892670669,-36.69607892670669,1,100.0,23916.860118154014,mega,3374.3
XLK,706.4717569789409,681.1411068076258,25.330650171315128,1.1817638166164546,1.164983524104646,-33.5590665378496,-33.559066537849766,1,100.0,70647.1756978941,mega,2287.8
XLF,236.5280466569174,237.70645649630663,-1.1784098393892162,0.7945847948069266,0.7960519988760074,-42.86253285896071,-42.86253285896077,1,100.0,23652.804665691743,mega,2707.9
XLE,150.27351490711987,150.43646958153286,-0.16295467441298506,0.5544982567837096,0.5544196818578009,-66.81304783391478,-66.81304783391472,1,100.0,15027.35149071199,mega,3580.7
XLV,147.07157013922782,141.54261170477932,5.528958434448472,0.7612561861553995,0.7436085503523747,-28.404327191463608,-28.404327191463587,1,100.0,14707.15701392278,mega,2154.6
XLI,268.557654658128,269.20054057943895,-0.642885921310965,0.911004380540341,0.9113072287344732,-42.33408984234141,-42.334089842341385,1,100.0,26855.7654658128,mega,2357.0
XLY,233.4852083215511,236.54332206946148,-3.058113747910385,0.7932370861143997,0.7980558466196018,-39.66956561753282,-39.66956561753292,1,100.0,23348.52083215511,mega,1228.9
XLP,101.8373248090173,107.51620292985329,-5.678878120835984,0.6667943191464596,0.6878005089571672,-24.512262427826737,-24.512262427826702,1,100.0,10183.73248090173,mega,1481.8
XLU,154.930074786247,166.90548219409337,-11.975407407846394,0.7044976009010687,0.733002295092549,-36.06678291570072,-36.06678291570077,1,100.0,15493.007478624699,mega,1211.0
XLB,174.40637638286037,173.7236885013829,0.6826878814774728,0.7160276921598449,0.713659392885312,-37.27419415937605,-37.27419415937611,1,100.0,17440.637638286036,mega,786.0
XLRE,97.55700397736462,101.7661722818912,-4.209168304526578,0.5264799054631394,0.5388106507093016,-38.82477473250484,-38.82477473250484,1,100.0,9755.700397736462,large,381.1
XLC,156.35150021978964,156.582384949222,-0.23088472943235683,0.7852708948476489,0.7850725482093475,-46.65360288736336,-46.6536028873633,1,100.0,15635.150021978963,mega,903.9
510300.SS,76.90452376975195,80.47555390023498,-3.571030130483044,0.496835768414641,0.5101458138198157,-42.15702301031361,-42.15702301031369,1,100.0,7690.452376975194,large,433.5
159915.SZ,74.20267206471748,83.77433628160578,-9.571664216888308,0.4135164208125372,0.4367386543029947,-56.58465895446385,-56.58465895446385,1,100.0,7420.267206471748,mega,552.2
510500.SS,54.844294005884876,60.221600134843335,-5.377306128958459,0.3797318667745343,0.39870418713597205,-39.481047146237934,-39.48104714623791,1,100.0,5484.429400588488,mega,533.2
510050.SS,66.6081695959473,67.70125472562995,-1.0930851296826583,0.46258850768281146,0.46704549412432933,-41.88062871939599,-41.88062871939594,1,100.0,6660.816959594729,large,275.8
^HSI,19.63520769156152,22.501036981581475,-2.8658292900199553,0.23283930809717382,0.24641100637681285,-55.70077249305005,-55.70077249305001,1,100.0,1963.5207691561518,mega,12015539.1
^HSTECH,-37.118817299428486,-35.39381970563983,-1.7249975937886575,-0.1473237902265881,-0.126163347180334,-61.95546857906224,-61.95546857906218,1,0.0,-3711.8817299428483,mega,651.9
GLD,269.7007581168323,268.21303631124204,1.4877218055902475,1.0948100198446342,1.086015151770515,-22.00216813471576,-22.002168134715404,1,100.0,26970.07581168323,mega,6267.1
SLV,330.7327022797812,340.2529419765922,-9.52023969681095,0.7552938335172978,0.7631988184235609,-42.806123367502046,-42.80612336750188,1,100.0,33073.27022797812,mega,3009.8
USO,37.8290622734902,41.37114699350175,-3.5420847200115513,0.3373570235987115,0.34549486141500757,-86.75373056873747,-86.75373056873745,1,100.0,3782.90622734902,mega,6578.3
IBIT,79.17469445252536,61.49268550040399,17.682008952121375,0.919144595191055,0.8070179710343568,-49.36176460862086,-49.361764608620895,1,100.0,7917.469445252536,mega,2084.5
