symbol,rule_return_%,bh_return_%,alpha_%,rule_sharpe,bh_sharpe,rule_maxdd_%,bh_maxdd_%,n_trades,win_rate_%,expectancy_%,size,adv_usd_m
SPY,126.34395354349708,299.6479641913576,-173.3040106478605,0.9321634120371715,1.0404576046749894,-25.022892612615287,-33.71724519522501,19,57.89473684210527,664.9681765447214,mega,61788.3
QQQ,228.98236194760977,527.7302884370592,-298.74792648944947,1.0332793260013065,1.1299755802345393,-24.456023733808486,-35.11872475502946,20,65.0,1144.9118097380488,mega,39413.6
IWM,46.72470166658977,180.47347399544395,-133.7487723288542,0.3929280922048501,0.6800867690865592,-31.38740325118673,-41.133287375474794,25,44.0,186.8988066663589,mega,12150.2
DIA,78.65074674516481,237.36927370949624,-158.71852696433143,0.7056551692593607,0.9431118834914163,-21.899644094602344,-36.696060840760794,24,50.0,327.7114447715203,mega,3374.3
XLK,264.3694289205659,681.5833477561372,-417.2139188355713,1.0248959981211296,1.1652634486410662,-28.043018471493617,-33.5590606080188,19,57.89473684210527,1391.4180469503467,mega,2287.8
XLF,89.25257867819984,237.5156337156239,-148.26305503742404,0.6221598728425993,0.7957493735289479,-28.72467863532081,-42.86253236790175,24,37.5,371.8857444924993,mega,2707.9
XLE,4.504094438744506,150.26394891970511,-145.7598544809606,0.14575893479912802,0.55413784309934,-56.30135171321585,-66.81303304963346,26,34.61538461538461,17.323440149017358,mega,3580.7
XLV,12.350779302146838,141.36145001723207,-129.01067071508524,0.19548352151076165,0.7430511397326358,-23.84666314549898,-28.40429604852198,26,38.46153846153847,47.502997315949244,mega,2154.6
XLI,79.87707558790186,269.03115923728,-189.15408364937812,0.6186883562668403,0.9110310036041189,-20.898012078012897,-42.334102004001736,27,44.44444444444444,295.84102069593297,mega,2357.0
XLY,67.41737138854074,236.33393221785767,-168.91656082931692,0.523718895200325,0.7977179715073269,-31.592623601697746,-39.66957311204147,21,52.38095238095239,321.0351018501943,mega,1228.9
XLP,22.756695567917358,107.3016794606084,-84.54498389269104,0.3063801812223789,0.6869440415906057,-22.723884495200476,-24.512243302802027,24,41.66666666666667,94.81956486632234,mega,1481.8
XLU,5.870082595374442,166.91015287426728,-161.04007027889284,0.1309204276598963,0.7330134331907576,-44.70337239726957,-36.06676696897071,26,42.30769230769231,22.57724075144,mega,1210.9
XLB,8.278740799201369,173.4106806462729,-165.13193984707155,0.15263459614144068,0.7129944850483155,-37.49585477807364,-37.27420118744919,29,37.93103448275862,28.54738206621147,mega,786.0
XLRE,10.04294882368702,101.69826317094785,-91.65531434726084,0.1674862166877337,0.5386108124541051,-27.65335224750355,-38.82478033819582,25,32.0,40.171795294748165,large,381.1
XLC,142.8874743127828,156.62555158511807,-13.73807727233527,1.0453504451135247,0.7851887491996747,-17.4519336541607,-46.653602264264634,14,28.57142857142857,1020.6248165198772,mega,903.9
510300.SS,27.702220526008876,80.47553764053596,-52.77331711452709,0.3036465594092768,0.5101458738966853,-35.92389142667122,-42.157023010313644,22,36.36363636363637,125.91918420913146,large,433.5
159915.SZ,79.34236594109404,83.77433628160578,-4.431970340511738,0.4704743017190028,0.4367386543029947,-39.92789834622387,-56.58465895446385,20,35.0,396.7118297054703,mega,552.2
510500.SS,14.905843317670115,60.22161482799998,-45.31577151032987,0.20524221924305844,0.3987042350161975,-39.84168968363855,-39.48104052504945,22,36.36363636363637,67.75383326213688,mega,533.2
510050.SS,27.342000861271153,67.70126587868307,-40.35926501741193,0.3088185988588489,0.46704560738368806,-36.875514500163966,-41.88062494302402,22,27.27272727272727,124.28182209668688,large,275.8
588000.SS,1.1689045706007528,4.450247389585366,-3.281342818984613,0.13944599242847938,0.20913842104945735,-32.52432349701253,-59.6407160409667,13,23.076923076923077,8.99157362000608,mega,514.7
^HSI,11.291346585042229,22.501036981581475,-11.209690396539244,0.1791144476964719,0.24641100637681285,-37.21562258126091,-55.70077249305001,24,37.5,47.04727743767603,mega,12015539.1
^HSTECH,-25.54288945956432,-35.39381970563983,9.850930246075507,-0.24331762990392494,-0.126163347180334,-40.49597374835716,-61.95546857906218,14,14.285714285714285,-182.44921042545948,mega,651.9
GLD,127.9945123735724,268.1544135300561,-140.15990115648373,0.7981367742457278,1.0858907941409044,-22.91619694690886,-22.002168134715404,22,40.909090909090914,581.7932380616928,mega,6267.1
SLV,35.56209761732653,340.0061750562556,-304.44407743892907,0.303189537150736,0.7629806234697576,-51.775356806655715,-42.80612336750188,30,23.333333333333332,118.54032539108852,mega,3009.8
USO,11.098754064935546,41.5811510546241,-30.482396989688553,0.19771968648746313,0.3459585814137129,-55.122586332245085,-86.75373056873745,29,24.137931034482758,38.27156574115696,mega,6578.3
IBIT,55.65240895028042,61.565913938392846,-5.913504988112428,0.855590412715078,0.807494622360359,-36.5159580184814,-49.361764608620895,4,75.0,1391.3102237570101,mega,2084.5
